Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
A,Jaqueta,3337516,JAQ_AVD,Jaqueta Aviador,0.7,,,,False,500,5,True,0,0,190,0,0,0,,,False,True,jaqueta_aviador_sm.jpg,"jaqueta_aviador_md.jpg,jaqueta_aviador2_md.jpg","jaqueta_aviador_lg.jpg,jaqueta_aviador2_lg.jpg",,,,,,,,0,,,,,,0,,desc_jaq_aviador.html,,0,0,,True,False,0,0,0,,,,,,,
I,Jaqueta,3337517,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46318,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337518,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46319,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337519,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46320,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337520,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46321,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337521,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46322,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337522,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46323,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337523,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46324,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337524,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46325,,,,,,12539,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337525,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46318,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337526,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46319,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337527,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46320,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337528,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46321,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337529,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46322,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337530,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46323,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337531,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46324,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337532,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46325,,,,,,12540,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337533,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46318,,,,,,12542,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337534,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46319,,,,,,12542,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337535,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46320,,,,,,12542,,3337516,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,3337536,JAQ_AVD,Jaqueta Aviador,0.7,,,,,500,5,True,,,190,,,,,,False,False,,,,46321,,,,,,12542,,3337516,,,,,,,,,,,,,,,,,,,,,,,
